@RELATION Points

@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE z NUMERIC
@ATTRIBUTE w NUMERIC
@ATTRIBUTE t NUMERIC

@DATA
7.59 , 4.05 , 7.82 , 6.74 , 8.88
1.05 , 1.74 , 3.10 , 0.63 , 7.41
11.64 , 6.19 , 5.07 , 4.12 , 5.31
12.14 , 6.39 , 4.80 , 3.86 , 5.24
11.73 , 6.26 , 4.88 , 3.79 , 5.04
11.61 , 5.60 , 5.01 , 4.14 , 5.16
11.99 , 5.98 , 4.77 , 3.85 , 5.09
5.04 , 8.95 , 10.96 , 10.02 , 11.81
7.26 , 1.30 , 8.53 , 11.08 , 2.97
11.68 , 5.79 , 5.08 , 4.21 , 4.66
12.00 , 5.75 , 5.41 , 3.92 , 5.14
8.14 , 4.24 , 7.87 , 6.85 , 9.09
12.11 , 6.15 , 5.36 , 3.81 , 5.21
7.80 , 3.84 , 8.26 , 6.98 , 8.64
7.11 , 0.79 , 9.27 , 10.92 , 2.97
12.05 , 5.98 , 4.84 , 4.31 , 4.74
11.93 , 6.27 , 4.81 , 4.27 , 5.09
5.05 , 8.94 , 10.98 , 10.06 , 11.93
0.82 , 2.10 , 2.94 , 0.91 , 7.15
7.93 , 3.75 , 8.20 , 7.05 , 9.23
4.83 , 9.09 , 11.09 , 10.13 , 11.63
11.79 , 6.08 , 5.10 , 4.05 , 4.70
11.92 , 5.79 , 5.10 , 4.32 , 4.76
12.05 , 6.05 , 5.23 , 3.94 , 4.98
5.07 , 9.16 , 10.96 , 9.76 , 12.27
11.74 , 5.89 , 5.22 , 4.29 , 4.86
12.03 , 5.96 , 5.26 , 3.70 , 4.94
1.11 , 1.82 , 3.14 , 1.01 , 6.96
8.54 , 4.09 , 8.14 , 6.88 , 9.10
12.15 , 5.86 , 4.72 , 3.77 , 4.89
4.93 , 9.28 , 10.66 , 9.94 , 12.09
6.88 , 0.85 , 8.88 , 11.40 , 3.05
0.65 , 2.43 , 3.07 , 1.03 , 7.05
11.98 , 5.63 , 5.13 , 3.76 , 4.77
7.00 , 0.82 , 8.78 , 10.91 , 3.18
10.28 , 7.92 , 1.05 , 4.95 , 10.25
11.97 , 6.14 , 5.02 , 3.90 , 5.20
7.09 , 1.26 , 9.29 , 10.58 , 3.06
11.99 , 6.17 , 5.29 , 4.02 , 5.09
9.98 , 8.16 , 1.20 , 5.09 , 9.70
11.81 , 5.83 , 4.88 , 3.84 , 5.04
0.89 , 2.18 , 2.98 , 0.71 , 7.21
11.82 , 5.78 , 5.11 , 4.18 , 5.03
5.07 , 8.90 , 10.92 , 9.83 , 12.12
9.91 , 8.05 , 1.09 , 5.07 , 10.02
11.94 , 6.25 , 5.21 , 3.99 , 4.85
7.15 , 0.87 , 9.29 , 10.87 , 2.92
9.76 , 8.36 , 1.17 , 5.12 , 10.15
4.86 , 8.88 , 10.82 , 10.19 , 12.27
10.15 , 8.32 , 0.94 , 5.20 , 10.22
12.16 , 6.09 , 5.37 , 4.16 , 4.90
8.36 , 4.01 , 8.28 , 6.94 , 9.25
7.87 , 4.03 , 7.57 , 7.02 , 9.15
12.14 , 5.83 , 5.15 , 3.81 , 4.71
7.87 , 3.80 , 8.10 , 7.12 , 9.30
6.72 , 1.15 , 9.15 , 10.70 , 2.65
7.91 , 4.13 , 7.90 , 7.06 , 8.57
7.04 , 1.32 , 9.12 , 11.10 , 2.81
11.96 , 5.88 , 5.06 , 3.80 , 4.69
11.93 , 6.01 , 5.33 , 3.76 , 4.84
7.06 , 1.32 , 8.88 , 10.95 , 3.45
5.17 , 9.19 , 11.28 , 9.88 , 12.13
11.75 , 6.44 , 4.92 , 3.83 , 4.69
6.76 , 0.55 , 8.92 , 10.97 , 2.70
4.76 , 8.82 , 11.05 , 9.88 , 11.67
7.00 , 0.87 , 9.05 , 10.78 , 2.91
11.88 , 6.15 , 5.03 , 3.93 , 4.92
8.18 , 3.90 , 7.80 , 7.10 , 8.86
7.99 , 3.95 , 7.85 , 7.00 , 9.26
12.31 , 5.71 , 4.69 , 4.09 , 4.92
11.94 , 5.64 , 5.11 , 4.34 , 4.72
8.26 , 4.20 , 7.98 , 7.12 , 8.81
7.16 , 0.90 , 9.06 , 10.96 , 2.90
12.08 , 5.61 , 4.79 , 3.83 , 4.98
7.43 , 1.04 , 9.18 , 11.08 , 3.01
10.03 , 7.94 , 1.16 , 4.73 , 10.35
8.25 , 3.80 , 8.10 , 7.08 , 8.87
0.98 , 2.11 , 2.95 , 1.17 , 7.24
12.11 , 5.72 , 4.80 , 4.19 , 4.77
11.87 , 5.70 , 5.26 , 4.06 , 4.84
11.85 , 6.01 , 4.88 , 4.12 , 4.80
12.20 , 6.00 , 4.60 , 4.13 , 5.02
8.02 , 4.12 , 8.24 , 7.04 , 9.07
7.86 , 4.14 , 7.63 , 6.52 , 8.92
11.75 , 5.99 , 5.07 , 4.19 , 4.82
7.82 , 4.09 , 8.04 , 6.95 , 9.01
12.23 , 6.21 , 4.96 , 3.44 , 5.06
11.88 , 5.81 , 4.76 , 4.16 , 5.25
5.23 , 8.97 , 11.03 , 10.08 , 12.11
11.70 , 6.02 , 4.87 , 4.16 , 4.89
5.33 , 9.21 , 10.72 , 10.07 , 11.91
7.21 , 0.66 , 8.78 , 11.00 , 3.03
6.98 , 1.12 , 8.86 , 11.25 , 3.05
4.58 , 8.98 , 10.94 , 10.01 , 11.93
5.46 , 8.78 , 10.98 , 10.13 , 11.83
12.33 , 5.92 , 4.87 , 3.99 , 5.05
4.96 , 9.00 , 10.69 , 9.81 , 12.10
0.98 , 2.13 , 3.56 , 1.14 , 7.33
5.15 , 8.99 , 10.94 , 9.99 , 11.77
6.83 , 0.65 , 9.00 , 11.24 , 2.99
12.31 , 6.12 , 4.95 , 4.11 , 5.23
12.05 , 6.08 , 5.06 , 3.91 , 4.86
7.98 , 3.99 , 7.95 , 6.81 , 8.88
10.05 , 8.24 , 1.05 , 4.62 , 9.80
12.06 , 6.00 , 5.43 , 4.10 , 4.99
11.98 , 6.00 , 5.23 , 3.72 , 5.17
7.90 , 3.79 , 8.09 , 7.40 , 8.94
1.03 , 2.14 , 3.04 , 1.23 , 6.82
10.05 , 7.84 , 1.19 , 5.33 , 10.04
11.86 , 6.24 , 4.74 , 4.27 , 4.86
10.24 , 8.55 , 1.27 , 5.16 , 10.11
6.97 , 0.68 , 9.13 , 11.09 , 3.19
11.88 , 5.87 , 4.93 , 3.85 , 5.15
6.93 , 0.86 , 9.24 , 11.18 , 3.12
7.94 , 4.07 , 8.23 , 7.21 , 9.00
4.65 , 9.03 , 10.94 , 9.78 , 11.86
6.66 , 1.14 , 9.15 , 11.49 , 3.18
12.00 , 6.04 , 5.23 , 4.03 , 5.23
4.72 , 8.95 , 10.76 , 9.90 , 11.89
11.89 , 5.98 , 4.91 , 4.01 , 5.04
11.72 , 6.37 , 4.94 , 3.77 , 4.83
9.96 , 7.94 , 0.82 , 4.80 , 10.09
12.25 , 6.36 , 5.38 , 4.44 , 5.27
12.10 , 5.76 , 4.62 , 4.20 , 5.14
12.30 , 6.01 , 5.12 , 4.10 , 5.00
7.80 , 3.91 , 7.77 , 7.28 , 8.93
12.08 , 6.01 , 5.10 , 3.94 , 5.51
11.87 , 5.94 , 4.99 , 4.02 , 5.14
6.56 , 1.06 , 9.19 , 11.01 , 2.95
7.98 , 4.39 , 7.48 , 6.86 , 8.96
5.09 , 9.20 , 10.94 , 9.97 , 12.68
1.26 , 2.20 , 3.24 , 1.50 , 6.74
12.01 , 5.78 , 5.12 , 3.77 , 5.14
5.38 , 8.86 , 11.39 , 9.96 , 11.46
12.12 , 5.70 , 5.03 , 3.86 , 4.81
7.96 , 4.24 , 7.78 , 6.60 , 8.77
12.01 , 5.90 , 4.97 , 4.07 , 4.52
12.08 , 6.13 , 4.90 , 3.83 , 5.19
12.49 , 5.98 , 5.19 , 4.37 , 5.18
10.22 , 7.89 , 0.86 , 5.02 , 9.96
12.13 , 6.06 , 4.95 , 4.19 , 4.94
12.33 , 6.27 , 4.91 , 4.04 , 5.31
5.39 , 8.95 , 10.98 , 10.21 , 12.01
11.67 , 6.14 , 5.25 , 3.87 , 4.78
12.05 , 6.19 , 5.13 , 4.03 , 5.12
6.90 , 1.18 , 8.94 , 10.96 , 3.22
6.81 , 1.57 , 9.06 , 11.06 , 3.13
9.97 , 8.25 , 1.05 , 4.93 , 10.07
11.91 , 6.32 , 4.79 , 4.06 , 5.02
0.96 , 2.14 , 2.61 , 0.77 , 7.04
11.74 , 6.15 , 5.17 , 3.76 , 5.15
11.91 , 6.25 , 5.11 , 3.93 , 4.82
10.27 , 7.99 , 1.40 , 5.12 , 9.66
12.40 , 5.97 , 4.79 , 3.85 , 5.20
12.28 , 6.08 , 4.70 , 4.37 , 5.20
8.19 , 4.01 , 8.18 , 7.18 , 8.75
12.11 , 6.15 , 5.16 , 3.92 , 4.94
11.96 , 5.74 , 4.89 , 4.19 , 4.97
11.88 , 5.97 , 5.06 , 4.14 , 4.97
12.14 , 5.93 , 4.73 , 3.85 , 5.29
7.09 , 0.93 , 8.71 , 11.04 , 2.85
11.85 , 5.92 , 5.06 , 3.72 , 5.18
7.85 , 3.70 , 8.08 , 7.17 , 9.23
7.03 , 0.78 , 9.01 , 10.78 , 3.06
8.08 , 3.74 , 7.89 , 7.18 , 8.78
7.05 , 1.00 , 9.12 , 11.00 , 3.10
11.92 , 5.86 , 5.07 , 4.24 , 4.80
7.70 , 3.97 , 8.13 , 7.06 , 8.79
12.02 , 6.26 , 5.22 , 4.07 , 5.16
12.29 , 6.05 , 5.14 , 3.86 , 5.03
11.88 , 5.79 , 5.12 , 3.79 , 5.27
12.21 , 5.94 , 5.00 , 4.09 , 5.28
12.36 , 5.62 , 5.02 , 3.69 , 4.65
6.87 , 1.03 , 9.18 , 11.10 , 2.83
7.94 , 3.83 , 8.00 , 6.75 , 8.87
11.79 , 5.94 , 5.13 , 4.26 , 4.86
7.12 , 0.83 , 9.04 , 10.97 , 3.24
11.59 , 6.17 , 4.64 , 4.05 , 5.17
11.67 , 6.06 , 4.93 , 3.84 , 4.83
0.63 , 2.13 , 2.59 , 0.87 , 7.12
12.03 , 5.77 , 5.07 , 3.88 , 5.18
12.03 , 5.31 , 4.92 , 3.84 , 5.19
12.13 , 5.77 , 4.90 , 3.87 , 5.12
12.06 , 6.18 , 5.26 , 3.78 , 4.94
6.83 , 0.80 , 8.73 , 10.81 , 2.96
12.06 , 5.88 , 4.54 , 3.88 , 5.10
10.06 , 7.88 , 1.10 , 5.07 , 9.83
5.04 , 9.27 , 10.99 , 10.30 , 11.91
4.95 , 9.38 , 10.80 , 10.17 , 12.23
6.88 , 1.15 , 9.02 , 10.82 , 3.04
8.20 , 4.09 , 7.81 , 7.04 , 8.94
10.09 , 7.88 , 0.68 , 5.23 , 10.10
9.87 , 8.04 , 0.90 , 4.98 , 10.30
12.12 , 5.96 , 5.07 , 3.78 , 4.99
7.95 , 3.96 , 8.31 , 6.95 , 8.87
8.02 , 4.13 , 8.18 , 6.89 , 9.04
5.09 , 9.08 , 10.82 , 9.82 , 11.87
6.94 , 1.03 , 8.83 , 10.79 , 2.91
12.11 , 6.34 , 4.85 , 3.86 , 5.36
4.92 , 9.31 , 10.61 , 10.03 , 12.16
12.12 , 5.73 , 5.23 , 3.93 , 5.49
5.22 , 8.83 , 11.03 , 9.91 , 12.58
7.50 , 1.06 , 9.02 , 10.98 , 2.60
12.02 , 5.89 , 5.15 , 4.03 , 5.27
5.17 , 9.09 , 10.72 , 10.21 , 11.89
12.19 , 5.83 , 4.72 , 3.89 , 5.02
12.06 , 5.87 , 4.98 , 4.12 , 5.04
12.17 , 6.09 , 4.78 , 3.97 , 4.88
10.20 , 7.88 , 1.32 , 5.17 , 9.87
12.09 , 6.09 , 4.86 , 4.01 , 4.75
11.79 , 5.48 , 4.80 , 3.90 , 5.04
12.12 , 6.32 , 4.98 , 3.62 , 5.01
9.82 , 7.99 , 0.86 , 5.08 , 10.12
4.58 , 9.04 , 10.94 , 9.82 , 12.06
11.90 , 5.86 , 5.19 , 4.14 , 5.00
12.10 , 5.58 , 4.93 , 3.94 , 5.01
5.03 , 9.25 , 11.01 , 10.15 , 12.07
9.97 , 7.98 , 1.37 , 4.93 , 10.20
11.68 , 5.66 , 5.12 , 3.97 , 4.69
7.09 , 0.71 , 9.08 , 10.79 , 2.87
6.87 , 0.86 , 8.95 , 10.85 , 3.16
6.98 , 1.17 , 9.01 , 11.33 , 3.34
11.92 , 5.74 , 5.24 , 3.99 , 5.08
6.85 , 1.20 , 9.02 , 11.00 , 2.48
7.89 , 4.38 , 8.04 , 7.10 , 8.98
12.02 , 5.78 , 4.88 , 4.09 , 5.25
12.10 , 6.07 , 5.17 , 4.36 , 5.33
0.88 , 1.73 , 3.19 , 0.97 , 6.88
12.44 , 6.14 , 5.12 , 4.09 , 5.30
4.78 , 8.94 , 10.74 , 10.15 , 12.06
9.82 , 7.86 , 0.84 , 5.02 , 10.18
4.84 , 9.05 , 10.80 , 9.87 , 12.01
7.19 , 0.86 , 8.89 , 11.03 , 2.86
5.29 , 9.21 , 11.25 , 10.23 , 12.46
7.22 , 0.89 , 8.81 , 11.03 , 2.74
7.60 , 0.87 , 8.85 , 10.97 , 2.82
11.83 , 6.17 , 5.08 , 4.20 , 4.96
11.95 , 6.41 , 5.23 , 3.75 , 5.20
12.39 , 6.50 , 5.10 , 3.85 , 4.88
7.75 , 4.20 , 7.87 , 6.85 , 8.86
7.18 , 0.93 , 8.98 , 10.96 , 3.08
10.05 , 7.27 , 0.78 , 5.21 , 9.74
7.75 , 3.81 , 7.97 , 7.11 , 9.40
6.92 , 1.17 , 8.89 , 11.23 , 3.01
10.08 , 7.94 , 1.13 , 4.84 , 9.83
7.01 , 1.26 , 8.95 , 11.03 , 3.29
9.78 , 7.82 , 1.36 , 5.28 , 10.05
6.81 , 1.20 , 8.91 , 10.79 , 2.72
0.65 , 2.20 , 3.07 , 1.04 , 7.16
11.79 , 6.03 , 5.18 , 4.28 , 5.09
6.83 , 0.75 , 9.12 , 11.33 , 3.21
9.93 , 7.94 , 0.86 , 4.93 , 10.08
11.96 , 5.94 , 4.96 , 4.16 , 5.15
12.19 , 6.07 , 4.71 , 4.33 , 5.23
6.96 , 1.03 , 9.21 , 10.88 , 3.04
12.01 , 6.14 , 5.12 , 4.16 , 4.91
11.97 , 5.99 , 5.18 , 3.75 , 4.48
11.86 , 6.13 , 5.21 , 3.89 , 5.13
7.30 , 0.96 , 9.31 , 11.09 , 2.81
11.95 , 6.19 , 5.07 , 4.13 , 5.17
7.21 , 0.99 , 8.81 , 11.02 , 3.11
6.78 , 1.46 , 8.70 , 10.96 , 3.04
7.42 , 4.57 , 7.94 , 7.47 , 8.93
11.60 , 6.35 , 4.76 , 3.99 , 5.56
7.04 , 0.76 , 9.29 , 10.67 , 2.69
9.86 , 8.01 , 0.83 , 5.17 , 9.53
6.76 , 0.63 , 8.88 , 11.25 , 3.47
5.43 , 9.17 , 10.97 , 10.21 , 12.01
12.20 , 6.12 , 4.89 , 4.05 , 4.90
5.14 , 8.61 , 10.79 , 10.14 , 11.83
4.93 , 8.76 , 11.10 , 10.15 , 11.67
7.12 , 1.27 , 9.00 , 10.99 , 3.03
12.10 , 6.54 , 4.68 , 3.88 , 4.99
7.28 , 0.81 , 9.33 , 11.13 , 2.88
11.55 , 5.88 , 5.25 , 3.72 , 4.96
9.72 , 8.18 , 0.79 , 5.06 , 9.95
4.76 , 9.32 , 11.08 , 10.38 , 11.87
12.33 , 5.72 , 4.95 , 4.04 , 5.01
6.87 , 0.98 , 9.01 , 11.11 , 2.65
11.94 , 6.09 , 5.06 , 3.56 , 4.97
12.11 , 6.26 , 4.88 , 4.05 , 4.74
4.96 , 8.90 , 10.97 , 9.66 , 11.83
5.24 , 8.82 , 10.99 , 10.13 , 12.12
9.97 , 8.04 , 1.11 , 5.15 , 10.11
7.88 , 3.78 , 8.04 , 6.80 , 9.07
11.41 , 6.28 , 5.21 , 4.31 , 4.92
11.84 , 5.83 , 4.95 , 4.30 , 4.90
11.75 , 5.71 , 4.83 , 3.69 , 5.39
6.96 , 0.88 , 9.09 , 10.42 , 3.02
10.30 , 8.00 , 1.15 , 4.85 , 9.98
12.34 , 5.95 , 5.39 , 4.13 , 5.34
6.83 , 1.12 , 9.00 , 10.74 , 2.83
12.14 , 5.96 , 5.25 , 4.20 , 4.94
7.24 , 0.70 , 8.83 , 11.01 , 3.19
11.54 , 6.11 , 4.95 , 4.11 , 5.24
5.30 , 8.69 , 11.14 , 10.06 , 11.92
4.90 , 8.99 , 11.11 , 10.11 , 12.17
7.19 , 1.04 , 9.21 , 10.77 , 2.47
12.13 , 5.70 , 5.48 , 4.38 , 4.95
8.10 , 4.01 , 8.09 , 6.97 , 8.83
12.05 , 5.97 , 4.90 , 3.78 , 4.92
5.02 , 9.05 , 10.98 , 10.01 , 12.23
1.13 , 1.81 , 3.16 , 1.08 , 6.78
12.02 , 6.22 , 4.67 , 3.75 , 4.86
11.95 , 6.13 , 5.07 , 3.93 , 4.81
0.90 , 2.26 , 3.07 , 0.73 , 6.87
10.18 , 8.12 , 0.98 , 4.87 , 10.23
10.08 , 8.45 , 1.02 , 4.78 , 10.02
12.07 , 6.17 , 5.07 , 4.23 , 4.94
11.64 , 5.96 , 5.02 , 3.84 , 4.95
12.01 , 6.42 , 5.14 , 3.80 , 4.99
12.13 , 6.13 , 4.69 , 4.10 , 5.15
9.97 , 8.27 , 0.74 , 4.82 , 10.05
11.80 , 6.07 , 4.67 , 4.07 , 4.92
6.78 , 1.42 , 9.14 , 10.96 , 3.11
9.91 , 7.90 , 1.00 , 5.06 , 10.05
5.44 , 8.81 , 11.20 , 9.98 , 11.94
12.35 , 6.07 , 5.10 , 4.14 , 4.94
12.53 , 5.93 , 5.03 , 4.10 , 5.17
11.89 , 6.23 , 4.95 , 3.92 , 4.78
4.86 , 9.09 , 11.46 , 9.81 , 11.88
11.49 , 6.03 , 4.77 , 3.84 , 5.06
7.27 , 1.11 , 9.04 , 10.96 , 2.59
11.86 , 5.87 , 5.04 , 4.15 , 5.00
12.11 , 5.74 , 4.91 , 3.79 , 4.75
4.85 , 9.15 , 11.20 , 10.18 , 12.12
11.79 , 5.99 , 4.78 , 4.06 , 4.84
11.83 , 5.98 , 4.80 , 4.03 , 5.05
11.90 , 6.08 , 5.20 , 3.60 , 4.89
12.04 , 6.23 , 4.94 , 3.79 , 5.14
7.72 , 3.99 , 8.02 , 7.00 , 8.43
7.31 , 0.48 , 9.04 , 11.24 , 3.02
7.84 , 4.29 , 7.80 , 6.93 , 8.78
12.01 , 5.91 , 5.28 , 4.09 , 4.99
12.23 , 5.73 , 4.95 , 4.19 , 5.12
7.87 , 4.08 , 7.87 , 6.78 , 9.13
1.16 , 2.08 , 3.31 , 0.90 , 7.05
11.71 , 6.32 , 4.69 , 4.21 , 4.97
8.07 , 3.77 , 7.97 , 6.88 , 8.91
6.97 , 0.97 , 8.90 , 10.82 , 3.30
5.12 , 8.50 , 10.73 , 10.15 , 12.24
12.01 , 6.18 , 4.92 , 3.92 , 4.66
7.32 , 1.17 , 9.08 , 10.99 , 2.63
6.89 , 0.91 , 9.02 , 10.88 , 2.76
7.80 , 4.39 , 7.86 , 7.01 , 9.07
7.04 , 1.06 , 9.02 , 11.06 , 3.05
9.95 , 7.66 , 0.87 , 4.86 , 10.48
8.17 , 4.17 , 7.70 , 7.01 , 9.37
7.96 , 3.87 , 7.91 , 6.88 , 9.00
11.93 , 5.66 , 4.84 , 4.12 , 4.87
5.01 , 8.95 , 10.86 , 9.97 , 11.96
12.26 , 6.17 , 4.70 , 3.93 , 4.89
10.13 , 7.97 , 0.69 , 5.01 , 9.66
6.86 , 1.15 , 9.22 , 10.72 , 3.05
4.68 , 8.72 , 10.76 , 9.82 , 11.97
12.08 , 5.96 , 4.77 , 4.00 , 4.76
11.97 , 5.78 , 4.94 , 4.34 , 5.28
7.87 , 3.83 , 7.81 , 6.75 , 9.26
4.80 , 8.60 , 10.98 , 10.10 , 12.01
5.21 , 9.08 , 10.76 , 9.94 , 12.17
11.96 , 6.10 , 5.02 , 3.74 , 5.05
12.37 , 6.16 , 4.99 , 3.71 , 4.66
9.90 , 7.56 , 0.90 , 5.07 , 10.17
7.14 , 0.96 , 8.83 , 11.02 , 2.63
6.91 , 0.71 , 8.71 , 11.03 , 3.03
5.22 , 9.00 , 11.18 , 9.85 , 12.29
11.70 , 6.22 , 4.92 , 3.82 , 4.87
7.17 , 0.89 , 9.30 , 10.50 , 2.99
11.87 , 5.82 , 5.09 , 4.08 , 5.24
8.29 , 3.85 , 7.97 , 7.04 , 8.76
12.30 , 5.85 , 4.98 , 4.17 , 5.05
11.94 , 6.39 , 5.05 , 3.85 , 5.15
5.09 , 8.94 , 10.71 , 9.95 , 12.28
9.47 , 8.03 , 1.02 , 4.80 , 9.96
5.16 , 8.89 , 10.89 , 9.98 , 11.90
11.82 , 6.11 , 5.16 , 3.69 , 5.04
6.69 , 0.81 , 8.97 , 11.10 , 3.04
12.22 , 5.89 , 4.79 , 4.29 , 4.75
8.19 , 3.77 , 8.10 , 7.02 , 8.95
11.96 , 5.97 , 4.84 , 3.69 , 4.85
4.84 , 9.21 , 10.72 , 10.14 , 12.02
11.86 , 5.95 , 5.31 , 4.08 , 4.97
10.12 , 8.31 , 0.96 , 5.04 , 9.72
11.90 , 6.06 , 5.12 , 3.93 , 4.88
7.08 , 1.11 , 8.65 , 11.07 , 3.07
11.65 , 6.17 , 4.83 , 3.90 , 4.96
11.89 , 6.30 , 4.91 , 4.28 , 5.12
12.11 , 5.85 , 5.17 , 3.94 , 4.46
6.89 , 0.89 , 9.04 , 10.96 , 3.26
5.33 , 9.10 , 10.89 , 9.63 , 11.96
11.85 , 6.32 , 5.05 , 4.38 , 4.83
12.10 , 5.82 , 4.66 , 4.27 , 4.96
7.24 , 1.30 , 9.01 , 10.90 , 2.71
11.93 , 5.95 , 5.18 , 4.12 , 4.83
5.06 , 8.78 , 10.94 , 10.13 , 12.09
4.65 , 8.77 , 10.97 , 10.37 , 12.06
12.21 , 6.32 , 4.96 , 3.97 , 5.05
12.16 , 6.18 , 5.17 , 3.94 , 5.27
7.26 , 1.04 , 9.30 , 10.77 , 3.42
7.18 , 1.08 , 9.07 , 10.65 , 2.84
7.66 , 4.16 , 7.97 , 6.78 , 8.42
12.33 , 5.96 , 5.19 , 4.16 , 5.21
1.30 , 1.51 , 3.36 , 0.83 , 6.82
11.88 , 6.03 , 5.01 , 4.23 , 5.07
9.93 , 7.78 , 0.72 , 4.87 , 10.23
4.96 , 9.12 , 11.51 , 9.99 , 11.69
12.23 , 6.19 , 5.30 , 4.25 , 5.27
1.18 , 2.11 , 3.19 , 1.06 , 7.00
7.32 , 0.74 , 8.82 , 11.00 , 3.20
11.81 , 6.07 , 4.79 , 3.85 , 5.27
11.92 , 5.60 , 5.12 , 3.84 , 4.94
5.02 , 8.84 , 11.45 , 9.98 , 12.16
7.14 , 1.02 , 9.10 , 11.21 , 3.20
5.38 , 9.27 , 11.04 , 10.41 , 11.85
12.42 , 6.01 , 5.17 , 4.22 , 5.11
7.64 , 3.71 , 8.02 , 6.94 , 8.80
12.11 , 6.03 , 5.08 , 4.07 , 4.79
7.81 , 3.89 , 8.09 , 6.93 , 9.30
12.07 , 6.36 , 4.84 , 3.96 , 5.37
12.74 , 5.96 , 5.20 , 3.95 , 5.18
8.18 , 4.06 , 8.04 , 7.48 , 9.06
11.92 , 6.04 , 4.96 , 3.92 , 4.90
11.76 , 5.98 , 5.34 , 4.01 , 4.86
5.14 , 8.46 , 11.26 , 9.81 , 12.34
7.12 , 0.96 , 9.35 , 11.16 , 3.42
5.50 , 8.99 , 10.97 , 10.21 , 12.23
7.18 , 1.07 , 9.10 , 10.96 , 3.02
12.09 , 6.09 , 5.06 , 3.80 , 4.91
12.13 , 6.02 , 5.17 , 4.52 , 4.63
11.81 , 5.76 , 5.22 , 4.32 , 4.73
1.09 , 1.60 , 2.88 , 1.17 , 7.20
11.71 , 6.38 , 5.30 , 3.97 , 5.19
9.83 , 8.40 , 0.95 , 5.16 , 9.85
11.70 , 6.08 , 5.01 , 3.91 , 4.95
6.97 , 0.85 , 8.99 , 11.17 , 2.93
7.77 , 3.69 , 8.51 , 6.71 , 8.78
5.09 , 8.88 , 11.25 , 9.83 , 11.77
8.01 , 4.25 , 8.08 , 7.02 , 9.02
6.86 , 1.22 , 8.86 , 11.17 , 2.89
8.50 , 4.22 , 7.75 , 6.87 , 9.28
12.19 , 6.28 , 5.09 , 4.26 , 5.09
12.29 , 6.21 , 5.05 , 3.79 , 4.80
12.04 , 5.70 , 5.39 , 3.90 , 5.03
10.17 , 8.20 , 1.12 , 5.14 , 9.97
8.21 , 3.94 , 7.88 , 6.85 , 9.27
7.07 , 0.60 , 8.85 , 10.56 , 2.97
7.11 , 1.15 , 8.90 , 10.82 , 2.77
7.96 , 4.17 , 7.84 , 7.02 , 9.49
7.10 , 1.32 , 9.07 , 11.28 , 2.77
5.05 , 9.03 , 11.10 , 9.97 , 12.05
9.91 , 7.82 , 1.04 , 5.03 , 9.71
9.59 , 7.89 , 1.08 , 4.93 , 9.94
7.16 , 0.85 , 8.82 , 11.17 , 3.11
5.17 , 8.85 , 11.05 , 10.28 , 11.52
6.58 , 1.27 , 8.99 , 10.74 , 3.25
5.51 , 9.03 , 11.03 , 9.95 , 11.73
6.91 , 1.16 , 8.84 , 11.28 , 3.10
10.06 , 8.31 , 1.06 , 4.73 , 10.16
11.97 , 6.38 , 4.91 , 3.94 , 5.03
12.21 , 6.23 , 5.15 , 3.85 , 4.63
11.71 , 6.02 , 5.01 , 4.10 , 4.99
12.20 , 5.99 , 4.69 , 3.79 , 4.93
6.86 , 0.82 , 8.96 , 11.10 , 3.28
7.13 , 0.95 , 9.00 , 11.46 , 2.89
7.07 , 0.75 , 9.13 , 11.18 , 2.93
8.16 , 4.20 , 7.87 , 6.87 , 9.19
12.36 , 5.85 , 5.14 , 3.63 , 5.07
4.83 , 8.93 , 11.09 , 10.04 , 12.08
11.57 , 6.13 , 5.33 , 4.16 , 4.86
11.92 , 5.73 , 5.10 , 3.97 , 5.17
10.17 , 8.23 , 0.72 , 5.07 , 9.82
4.85 , 9.09 , 11.07 , 9.75 , 12.03
4.91 , 9.05 , 10.98 , 9.85 , 12.07
9.76 , 7.97 , 1.14 , 5.00 , 9.57
7.07 , 1.06 , 8.76 , 11.03 , 3.35
11.93 , 5.83 , 5.10 , 3.81 , 5.09
12.19 , 5.90 , 4.87 , 4.18 , 4.71
5.18 , 8.99 , 11.04 , 10.02 , 12.06
0.85 , 1.87 , 3.05 , 0.82 , 6.84
11.37 , 5.84 , 4.75 , 4.05 , 5.24
0.85 , 2.01 , 2.80 , 0.97 , 6.88
11.79 , 6.01 , 5.15 , 3.98 , 4.88
12.05 , 6.45 , 5.13 , 3.87 , 5.02
12.05 , 5.83 , 5.15 , 4.05 , 4.82
4.84 , 8.72 , 11.11 , 9.87 , 12.20
5.34 , 8.85 , 10.68 , 10.02 , 12.08
4.91 , 8.73 , 10.90 , 9.77 , 11.93
12.21 , 5.83 , 5.18 , 3.62 , 4.98
1.11 , 1.60 , 3.54 , 1.32 , 7.03
6.89 , 1.06 , 9.30 , 11.23 , 3.02
8.17 , 4.24 , 8.09 , 6.85 , 8.84
7.01 , 1.09 , 8.88 , 11.17 , 3.05
11.92 , 6.32 , 4.59 , 3.52 , 5.02
7.18 , 1.14 , 8.94 , 11.05 , 2.80
4.91 , 9.06 , 10.99 , 9.73 , 11.96
11.77 , 6.28 , 5.10 , 4.25 , 4.93
